date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:36	17422/17422	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Sep%202023%2014:45:35%20GMT	https://jun4web.junaaa21.repl.co/robots.txt		(from )
21:45:36	31107/31107	---M--	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2014:45:36%20GMT	https://jun4web.junaaa21.repl.co/	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/index.html	(from )
21:45:42	140218/140218	---M-Z	200	added ('OK')	image/jpeg	etag:%222ef4a2834101744a76a3fa62046ecc225953dccb%22	https://telegra.ph/file/ee545560940d014a78c0a.jpg	/storage/emulated/0/HTTrack/Websites/web1/telegra.ph/file/ee545560940d014a78c0a.jpg	(from https://jun4web.junaaa21.repl.co/)
21:45:47	153182/153182	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:44%20GMT	https://jun4web.junaaa21.repl.co/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/bootstrap.min.css	(from https://jun4web.junaaa21.repl.co/)
21:45:48	51227/51227	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:48%20GMT	https://jun4web.junaaa21.repl.co/css/all.min.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/all.min.css	(from https://jun4web.junaaa21.repl.co/)
21:45:49	12982/12982	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:50%20GMT	https://jun4web.junaaa21.repl.co/css/simple-line-icons.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/simple-line-icons.css	(from https://jun4web.junaaa21.repl.co/)
21:45:51	4913/4913	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:52%20GMT	https://jun4web.junaaa21.repl.co/css/slick.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/slick.css	(from https://jun4web.junaaa21.repl.co/)
21:45:53	77907/77907	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:53%20GMT	https://jun4web.junaaa21.repl.co/css/animate.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/animate.css	(from https://jun4web.junaaa21.repl.co/)
21:45:54	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:55%20GMT	https://jun4web.junaaa21.repl.co/css/magnific-popup.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/magnific-popup.css	(from https://jun4web.junaaa21.repl.co/)
21:45:57	49408/49408	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:57%20GMT	https://jun4web.junaaa21.repl.co/css/style.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/style.css	(from https://jun4web.junaaa21.repl.co/)
21:46:02	163931/163931	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202023%2014:45:58%20GMT	https://jun4web.junaaa21.repl.co/css/bootstrap.mins.css	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/css/bootstrap.mins.css	(from https://jun4web.junaaa21.repl.co/)
21:46:06	68488/68488	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:46:03%20GMT	https://jun4web.junaaa21.repl.co/js/sweetalert2.all.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/sweetalert2.all.min.js	(from https://jun4web.junaaa21.repl.co/)
21:46:27	31107/31107	---M--	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2014:46:25%20GMT	https://jun4web.junaaa21.repl.co/index.html	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/index-2.html	(from https://jun4web.junaaa21.repl.co/)
21:47:23	4571/4571	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Sep%202023%2014:46:33%20GMT	https://jun4web.junaaa21.repl.co/images/service-2.svg	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/images/service-2.svg	(from https://jun4web.junaaa21.repl.co/)
21:47:39	7753/7753	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Sep%202023%2014:47:40%20GMT	https://jun4web.junaaa21.repl.co/images/service-3.svg	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/images/service-3.svg	(from https://jun4web.junaaa21.repl.co/)
21:47:47	133170/133170	---M-Z	200	added ('OK')	image/jpeg	etag:%2293a262c047c542a09c533eb9832370156d64d4f7%22	https://telegra.ph/file/d730ab288cce2b1cfbbbb.jpg	/storage/emulated/0/HTTrack/Websites/web1/telegra.ph/file/d730ab288cce2b1cfbbbb.jpg	(from https://jun4web.junaaa21.repl.co/)
21:47:59	137662/137662	---M-Z	200	added ('OK')	image/jpeg	etag:%22f848be4102d1f6a53981319f8eceab5290b3a77d%22	https://telegra.ph/file/511fdb3ace6544a536749.jpg	/storage/emulated/0/HTTrack/Websites/web1/telegra.ph/file/511fdb3ace6544a536749.jpg	(from https://jun4web.junaaa21.repl.co/)
21:47:59	153807/153807	---M-Z	200	added ('OK')	image/jpeg	etag:%223c9909c593d8409c0864ef7c9a9a8650966fd33f%22	https://telegra.ph/file/3b80897e30bd724fe4e71.jpg	/storage/emulated/0/HTTrack/Websites/web1/telegra.ph/file/3b80897e30bd724fe4e71.jpg	(from https://jun4web.junaaa21.repl.co/)
21:48:05	130941/130941	---M-Z	200	added ('OK')	image/jpeg	etag:%223952e465cd10363097f061c5a3c2ff38b59ab8fe%22	https://telegra.ph/file/3574da0fbdbb01d6845cd.jpg	/storage/emulated/0/HTTrack/Websites/web1/telegra.ph/file/3574da0fbdbb01d6845cd.jpg	(from https://jun4web.junaaa21.repl.co/)
21:48:14	141312/141312	---M-Z	200	added ('OK')	image/jpeg	etag:%22d91e0ee6a119652c726a0243aa7c1f4230d8d140%22	https://telegra.ph/file/23d000eb5ce5a16aac2af.jpg	/storage/emulated/0/HTTrack/Websites/web1/telegra.ph/file/23d000eb5ce5a16aac2af.jpg	(from https://jun4web.junaaa21.repl.co/)
21:48:16	2066/2066	---M--	200	added ('OK')	text/html	date:Mon,%2018%20Sep%202023%2014:48:16%20GMT	https://jun4web.junaaa21.repl.co/works-2.html	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/works-2.html	(from https://jun4web.junaaa21.repl.co/)
21:48:18	137492/137492	---M-Z	200	added ('OK')	image/jpeg	etag:%221605a8df1560c2282e396b65645a5bf221607cb1%22	https://telegra.ph/file/c6f92b13cb8b4a7e22e49.jpg	/storage/emulated/0/HTTrack/Websites/web1/telegra.ph/file/c6f92b13cb8b4a7e22e49.jpg	(from https://jun4web.junaaa21.repl.co/)
21:48:24	78129/78129	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:19%20GMT	https://jun4web.junaaa21.repl.co/js/bootstrap.bundle.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/bootstrap.bundle.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:30	97180/97180	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:26%20GMT	https://jun4web.junaaa21.repl.co/js/jquery-1.12.3.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/jquery-1.12.3.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:30	3601/3601	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:31%20GMT	https://jun4web.junaaa21.repl.co/js/jquery.easing.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/jquery.easing.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:32	9028/9028	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:32%20GMT	https://jun4web.junaaa21.repl.co/js/jquery.waypoints.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/jquery.waypoints.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:33	2181/2181	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:34%20GMT	https://jun4web.junaaa21.repl.co/js/jquery.counterup.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/jquery.counterup.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:35	19149/19149	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:36%20GMT	https://jun4web.junaaa21.repl.co/js/popper.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/popper.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:39	55775/55775	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:38%20GMT	https://jun4web.junaaa21.repl.co/js/bootstrap.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/bootstrap.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:43	34695/34695	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:41%20GMT	https://jun4web.junaaa21.repl.co/js/isotope.pkgd.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/isotope.pkgd.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:45	21705/21705	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:46%20GMT	https://jun4web.junaaa21.repl.co/js/infinite-scroll.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/infinite-scroll.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:47	5594/5594	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:48%20GMT	https://jun4web.junaaa21.repl.co/js/imagesloaded.pkgd.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/imagesloaded.pkgd.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:51	41953/41953	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:50%20GMT	https://jun4web.junaaa21.repl.co/js/slick.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/slick.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:52	1747/1747	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:52%20GMT	https://jun4web.junaaa21.repl.co/js/contact.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/contact.js	(from https://jun4web.junaaa21.repl.co/)
21:48:53	11729/11729	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:54%20GMT	https://jun4web.junaaa21.repl.co/js/validator.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/validator.js	(from https://jun4web.junaaa21.repl.co/)
21:48:54	8155/8155	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:55%20GMT	https://jun4web.junaaa21.repl.co/js/wow.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/wow.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:55	1014/1014	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:56%20GMT	https://jun4web.junaaa21.repl.co/js/morphext.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/morphext.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:57	17509/17509	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:57%20GMT	https://jun4web.junaaa21.repl.co/js/parallax.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/parallax.min.js	(from https://jun4web.junaaa21.repl.co/)
21:48:59	20216/20216	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:48:59%20GMT	https://jun4web.junaaa21.repl.co/js/jquery.magnific-popup.min.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/jquery.magnific-popup.min.js	(from https://jun4web.junaaa21.repl.co/)
21:49:07	13392/13392	---M--	200	added ('OK')	text/javascript	date:Mon,%2018%20Sep%202023%2014:49:07%20GMT	https://jun4web.junaaa21.repl.co/js/custom.js	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/js/custom.js	(from https://jun4web.junaaa21.repl.co/)
21:49:12	126428/126428	---M--	200	added ('OK')		date:Mon,%2018%20Sep%202023%2014:49:09%20GMT	https://jun4web.junaaa21.repl.co/webfonts/fa-brands-400.eot	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/webfonts/fa-brands-400.eot	(from https://jun4web.junaaa21.repl.co/css/all.min.css)
21:49:14	126428/126428	---M--	200	added ('OK')		date:Mon,%2018%20Sep%202023%2014:49:13%20GMT	https://jun4web.junaaa21.repl.co/webfonts/fa-brands-400d41d.eot?	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/webfonts/fa-brands-400d41dd41d.eot	(from https://jun4web.junaaa21.repl.co/css/all.min.css)
21:49:16	69608/69608	---M--	200	added ('OK')		date:Mon,%2018%20Sep%202023%2014:49:16%20GMT	https://jun4web.junaaa21.repl.co/webfonts/fa-brands-400.woff2	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/webfonts/fa-brands-400.woff2	(from https://jun4web.junaaa21.repl.co/css/all.min.css)
21:49:18	81612/81612	---M--	200	added ('OK')		date:Mon,%2018%20Sep%202023%2014:49:18%20GMT	https://jun4web.junaaa21.repl.co/webfonts/fa-brands-400.woff	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/webfonts/fa-brands-400.woff	(from https://jun4web.junaaa21.repl.co/css/all.min.css)
21:49:20	126192/126192	---M--	200	added ('OK')		date:Mon,%2018%20Sep%202023%2014:49:19%20GMT	https://jun4web.junaaa21.repl.co/webfonts/fa-brands-400.ttf	/storage/emulated/0/HTTrack/Websites/web1/jun4web.junaaa21.repl.co/webfonts/fa-brands-400.ttf	(from https://jun4web.junaaa21.repl.co/css/all.min.css)
